  sample.cpp
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(298,12): warning C4244: 'argument': conversion from 'time_t' to 'unsigned int', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(462,12): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(465,12): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(468,12): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(471,12): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(841,27): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(841,22): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(841,15): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(842,27): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(842,22): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(842,15): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(843,27): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(843,22): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(843,15): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
C:\Users\jackh\Documents\School\CS 450\Project 1\sample.cpp(844,27): warning C4244: 'argument': conversion from 'int' to 'GLfloat', possible loss of data
